contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
kaczmarj,train,Human,44.184,0.593,43.242,22.819,52.922,8.141,0.641,95.446,1.495,206.408,51.948,0.79,67.176,6.353,142.204,41.481,0.818,58.419,2.739,134.16,24,2.0,0.454,2.667,1.0,2.739,2.0,0.278,2.667,3.0,1.581,2.0,0.375,2.4,1.5,1.838,7,9,2.0,0.333,2.0,1.0,1.414,0.778
plasmapy-requirements-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,2016.001,2016.001,0.0,167.987,0.596,65.739,0.001,76.555,167.998,0.53,77.538,59.522,79.168,27,0.0,0.0,27.0,27.0,0.0,3.0,0.148,9.0,9.0,3.0,0.0,0.0,27.0,27.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
accesslint[bot],train,Bot,18.982,0.602,17.468,10.234,23.272,0.0,0.78,2.276,0.0,7.535,,0.0,,,0.0,3.512,0.684,5.915,0.0,15.311,205,8.0,0.604,7.593,3.0,10.323,0.0,0.0,205.0,205.0,0.0,2.75,0.515,3.306,2.0,4.348,27,1,0.0,0.0,1.0,1.0,0.0,1.0
blueztestbot,train,Bot,4.886,0.754,7.88,2.066,15.637,2.969,0.752,6.927,0.358,16.311,1.519,0.83,3.929,0.011,10.128,0.108,0.924,1.514,0.015,6.286,299,95.25,0.635,74.75,30.0,111.425,23.5,0.607,49.833,31.5,75.072,10.5,0.593,9.645,5.0,12.241,2,6,1.5,0.208,3.0,3.5,1.414,0.5
thundernest-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1193.347,1193.347,0.0,,0.0,,,0.0,1.82,0.832,3.991,0.326,10.288,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
syndace,train,Human,2.791,0.852,12.562,0.605,30.826,0.142,0.864,7.769,0.029,28.26,1.958,0.879,9.818,0.188,26.937,1.469,0.879,9.574,0.177,25.833,91,5.75,0.44,5.056,3.5,4.263,3.0,0.62,7.0,3.0,12.369,1.5,0.349,2.116,2.0,1.693,8,13,1.75,0.261,2.222,2.0,1.215,0.444
bluca,train,Human,0.657,0.785,0.981,0.224,2.313,0.214,0.896,1.507,0.0,8.306,0.472,0.885,1.469,0.12,6.215,0.397,0.874,1.094,0.148,5.2,232,20.0,0.667,19.333,4.0,28.934,12.75,0.501,19.333,13.0,24.854,1.0,0.419,2.275,1.0,2.442,4,12,1.5,0.345,2.917,2.5,2.193,0.333
dbaeumer,train,Human,2.078,0.9,11.885,0.304,40.274,0.222,0.846,0.998,0.003,3.561,0.349,0.917,2.458,0.057,10.379,0.19,0.952,4.109,0.043,23.283,158,17.25,0.433,15.8,15.0,12.985,14.0,0.652,13.167,3.0,19.268,3.0,0.47,3.098,2.0,3.624,2,12,4.5,0.408,3.9,3.0,3.071,0.2
wpmobilebot,train,Bot,1.366,0.757,2.075,0.548,6.019,0.462,0.752,0.787,0.024,2.11,0.196,0.718,0.23,0.086,0.425,1.0,0.78,1.289,0.239,4.215,297,51.25,0.537,37.125,23.5,39.459,2.0,0.77,59.4,2.0,127.235,1.0,0.352,2.216,2.0,2.009,3,5,1.75,0.375,2.125,1.0,1.808,0.375
adamscybot,train,Human,75.813,0.709,57.296,11.736,87.222,0.589,0.78,6.059,0.0,23.133,17.992,0.799,38.515,1.378,76.523,16.045,0.84,29.443,0.453,66.186,55,1.75,0.573,3.056,1.0,5.461,7.0,0.536,5.5,2.5,6.294,1.0,0.443,2.115,1.0,3.011,16,10,0.0,0.261,1.444,1.0,1.042,0.889
herpaderpaldent,train,Human,22.136,0.795,354.943,0.159,781.192,0.262,0.663,20.205,0.09,49.261,0.202,0.967,47.338,0.051,276.783,0.215,0.972,39.499,0.064,252.751,49,11.25,0.648,12.25,2.5,20.516,6.75,0.427,4.9,4.5,3.985,4.25,0.67,8.167,2.0,14.261,3,10,2.0,0.429,3.5,2.0,3.697,0.75
cocoapodsbot,train,Bot,,0.0,,,0.0,0.0,0.0,25.058,25.058,0.0,,0.0,,,0.0,0.078,0.681,0.084,0.03,0.175,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
