contributor,dataset,label,DAAR_IQR,DAAR_gini,DAAR_mean,DAAR_median,DAAR_std,DCAR_IQR,DCAR_gini,DCAR_mean,DCAR_median,DCAR_std,DCAT_IQR,DCAT_gini,DCAT_mean,DCAT_median,DCAT_std,DCA_IQR,DCA_gini,DCA_mean,DCA_median,DCA_std,NA,NAR_IQR,NAR_gini,NAR_mean,NAR_median,NAR_std,NAT_IQR,NAT_gini,NAT_mean,NAT_median,NAT_std,NCAR_IQR,NCAR_gini,NCAR_mean,NCAR_median,NCAR_std,NOR,NT,NTR_IQR,NTR_gini,NTR_mean,NTR_median,NTR_std,ORR
kaczmarj,train,Human,44.184,0.593,43.242,22.819,52.922,8.141,0.641,95.446,1.495,206.408,59.305,0.779,70.712,8.895,145.195,43.009,0.809,61.074,3.275,136.697,23,2.0,0.435,2.556,1.0,2.455,2.0,0.3,2.556,3.0,1.59,1.75,0.378,2.3,1.5,1.829,7,9,2.0,0.333,2.0,1.0,1.414,0.778
plasmapy-requirements-bot[bot],train,Bot,,0.0,,,0.0,0.0,0.0,2016.001,2016.001,0.0,167.987,0.596,65.739,0.001,76.555,167.998,0.53,77.538,59.522,79.168,27,0.0,0.0,27.0,27.0,0.0,3.0,0.148,9.0,9.0,3.0,0.0,0.0,27.0,27.0,0.0,1,3,0.0,0.0,3.0,3.0,0.0,1.0
accesslint[bot],train,Bot,17.185,0.59,16.049,10.432,21.498,0.144,0.645,2.762,0.0,8.046,,0.0,,,0.0,14.347,0.634,13.558,6.711,19.571,90,3.0,0.474,3.333,2.0,3.669,0.0,0.0,90.0,90.0,0.0,1.0,0.219,1.385,1.0,0.764,27,1,0.0,0.0,1.0,1.0,0.0,1.0
blueztestbot,train,Bot,4.884,0.754,7.885,2.066,15.635,2.969,0.752,6.923,0.358,16.313,1.31,0.836,3.946,0.011,10.351,0.948,0.848,3.069,0.154,8.694,148,57.0,0.52,37.0,29.5,41.288,24.25,0.396,24.667,30.0,19.775,5.5,0.482,4.774,3.0,4.551,2,6,1.5,0.208,3.0,3.5,1.414,0.5
thundernest-bot,train,Bot,,0.0,,,0.0,0.0,0.0,1200.674,1200.674,0.0,,0.0,,,0.0,1.82,0.832,4.016,0.321,10.298,300,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,1,1,0.0,0.0,1.0,1.0,0.0,1.0
syndace,train,Human,2.8,0.852,12.563,0.605,30.826,0.142,0.864,7.768,0.029,28.26,2.309,0.875,10.138,0.222,27.323,1.546,0.878,9.682,0.18,25.959,90,5.75,0.444,5.0,3.0,4.284,5.5,0.612,8.182,3.0,13.318,1.0,0.347,2.093,2.0,1.688,8,11,0.75,0.251,2.111,2.0,1.183,0.444
bluca,train,Human,0.657,0.784,0.981,0.224,2.313,0.214,0.895,1.507,0.0,8.306,0.477,0.885,1.562,0.122,6.432,0.433,0.871,1.129,0.161,5.278,225,20.0,0.659,18.75,4.0,27.293,21.5,0.565,20.455,15.0,26.868,1.0,0.41,2.206,1.0,2.305,4,11,2.0,0.361,2.75,2.5,2.221,0.333
dbaeumer,train,Human,1.698,0.907,11.724,0.221,40.684,0.224,0.839,1.018,0.01,3.588,0.354,0.922,2.364,0.062,10.506,0.196,0.954,4.142,0.044,23.702,152,17.25,0.429,15.2,15.0,12.282,9.0,0.641,12.667,5.0,18.416,2.0,0.468,3.04,2.0,3.608,2,12,5.25,0.397,3.9,3.0,2.961,0.2
wpmobilebot,train,Bot,1.371,0.761,2.077,0.512,6.068,0.426,0.671,0.785,0.0,2.126,0.196,0.714,0.232,0.086,0.429,1.195,0.741,1.572,0.391,4.647,240,36.75,0.539,30.0,19.0,32.955,2.0,0.763,48.0,2.0,101.745,1.0,0.329,1.818,1.0,1.591,3,5,1.75,0.375,2.125,1.0,1.808,0.375
adamscybot,train,Human,75.813,0.709,57.296,11.736,87.222,0.589,0.78,6.059,0.0,23.133,20.178,0.784,41.367,1.89,78.637,16.045,0.84,29.443,0.453,66.186,55,1.75,0.573,3.056,1.0,5.461,8.0,0.509,6.111,3.0,6.412,1.0,0.443,2.115,1.0,3.011,16,9,0.0,0.233,1.389,1.0,0.85,0.889
