contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
kaczmarj,train,Human,23,9,9,7,0.778,2.556,1.0,2.455,0.435,2.0,2.556,3.0,1.59,0.3,2.0,2.3,1.5,1.829,0.378,1.75,2.0,1.0,1.414,0.333,2.0,95.446,1.495,206.408,0.641,8.141,43.242,22.819,52.922,0.593,44.184,61.074,3.275,136.697,0.809,43.009,70.712,8.895,145.195,0.779,59.305
plasmapy-requirements-bot[bot],train,Bot,27,3,1,1,1.0,27.0,27.0,0.0,0.0,0.0,9.0,9.0,3.0,0.148,3.0,27.0,27.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2016.001,2016.001,0.0,0.0,0.0,,,0.0,0.0,,77.538,59.522,79.168,0.53,167.998,65.739,0.001,76.555,0.596,167.987
accesslint[bot],train,Bot,90,1,27,27,1.0,3.333,2.0,3.669,0.474,3.0,90.0,90.0,0.0,0.0,0.0,1.385,1.0,0.764,0.219,1.0,1.0,1.0,0.0,0.0,0.0,2.762,0.0,8.046,0.645,0.144,16.049,10.432,21.498,0.59,17.185,13.558,6.711,19.571,0.634,14.347,,,0.0,0.0,
blueztestbot,train,Bot,148,6,4,2,0.5,37.0,29.5,41.288,0.52,57.0,24.667,30.0,19.775,0.396,24.25,4.774,3.0,4.551,0.482,5.5,3.0,3.5,1.414,0.208,1.5,6.923,0.358,16.313,0.752,2.969,7.885,2.066,15.635,0.754,4.884,3.069,0.154,8.694,0.848,0.948,3.946,0.011,10.351,0.836,1.31
thundernest-bot,train,Bot,300,1,1,1,1.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1200.674,1200.674,0.0,0.0,0.0,,,0.0,0.0,,4.016,0.321,10.298,0.832,1.82,,,0.0,0.0,
syndace,train,Human,90,11,18,8,0.444,5.0,3.0,4.284,0.444,5.75,8.182,3.0,13.318,0.612,5.5,2.093,2.0,1.688,0.347,1.0,2.111,2.0,1.183,0.251,0.75,7.768,0.029,28.26,0.864,0.142,12.563,0.605,30.826,0.852,2.8,9.682,0.18,25.959,0.878,1.546,10.138,0.222,27.323,0.875,2.309
bluca,train,Human,225,11,12,4,0.333,18.75,4.0,27.293,0.659,20.0,20.455,15.0,26.868,0.565,21.5,2.206,1.0,2.305,0.41,1.0,2.75,2.5,2.221,0.361,2.0,1.507,0.0,8.306,0.895,0.214,0.981,0.224,2.313,0.784,0.657,1.129,0.161,5.278,0.871,0.433,1.562,0.122,6.432,0.885,0.477
dbaeumer,train,Human,152,12,10,2,0.2,15.2,15.0,12.282,0.429,17.25,12.667,5.0,18.416,0.641,9.0,3.04,2.0,3.608,0.468,2.0,3.9,3.0,2.961,0.397,5.25,1.018,0.01,3.588,0.839,0.224,11.724,0.221,40.684,0.907,1.698,4.142,0.044,23.702,0.954,0.196,2.364,0.062,10.506,0.922,0.354
wpmobilebot,train,Bot,240,5,8,3,0.375,30.0,19.0,32.955,0.539,36.75,48.0,2.0,101.745,0.763,2.0,1.818,1.0,1.591,0.329,1.0,2.125,1.0,1.808,0.375,1.75,0.785,0.0,2.126,0.671,0.426,2.077,0.512,6.068,0.761,1.371,1.572,0.391,4.647,0.741,1.195,0.232,0.086,0.429,0.714,0.196
adamscybot,train,Human,55,9,18,16,0.889,3.056,1.0,5.461,0.573,1.75,6.111,3.0,6.412,0.509,8.0,2.115,1.0,3.011,0.443,1.0,1.389,1.0,0.85,0.233,0.0,6.059,0.0,23.133,0.78,0.589,57.296,11.736,87.222,0.709,75.813,29.443,0.453,66.186,0.84,16.045,41.367,1.89,78.637,0.784,20.178
