contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
kaczmarj,train,Human,24,9,9,7,0.778,2.667,1.0,2.739,0.454,2.0,2.667,3.0,1.581,0.278,2.0,2.4,1.5,1.838,0.375,2.0,2.0,1.0,1.414,0.333,2.0,95.446,1.495,206.408,0.641,8.141,43.242,22.819,52.922,0.593,44.184,58.419,2.739,134.16,0.818,41.481,67.176,6.353,142.204,0.79,51.948
plasmapy-requirements-bot[bot],train,Bot,27,3,1,1,1.0,27.0,27.0,0.0,0.0,0.0,9.0,9.0,3.0,0.148,3.0,27.0,27.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2016.001,2016.001,0.0,0.0,0.0,,,0.0,0.0,,77.538,59.522,79.168,0.53,167.998,65.739,0.001,76.555,0.596,167.987
accesslint[bot],train,Bot,205,1,27,27,1.0,7.593,3.0,10.323,0.604,8.0,205.0,205.0,0.0,0.0,0.0,3.306,2.0,4.348,0.515,2.75,1.0,1.0,0.0,0.0,0.0,2.276,0.0,7.535,0.78,0.0,17.468,10.234,23.272,0.602,18.982,5.915,0.0,15.311,0.684,3.512,,,0.0,0.0,
blueztestbot,train,Bot,299,6,4,2,0.5,74.75,30.0,111.425,0.635,95.25,49.833,31.5,75.072,0.607,23.5,9.645,5.0,12.241,0.593,10.5,3.0,3.5,1.414,0.208,1.5,6.927,0.358,16.311,0.752,2.969,7.88,2.066,15.637,0.754,4.886,1.514,0.015,6.286,0.924,0.108,3.929,0.011,10.128,0.83,1.519
thundernest-bot,train,Bot,300,1,1,1,1.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1193.347,1193.347,0.0,0.0,0.0,,,0.0,0.0,,3.991,0.326,10.288,0.832,1.82,,,0.0,0.0,
syndace,train,Human,91,13,18,8,0.444,5.056,3.5,4.263,0.44,5.75,7.0,3.0,12.369,0.62,3.0,2.116,2.0,1.693,0.349,1.5,2.222,2.0,1.215,0.261,1.75,7.769,0.029,28.26,0.864,0.142,12.562,0.605,30.826,0.852,2.791,9.574,0.177,25.833,0.879,1.469,9.818,0.188,26.937,0.879,1.958
bluca,train,Human,232,12,12,4,0.333,19.333,4.0,28.934,0.667,20.0,19.333,13.0,24.854,0.501,12.75,2.275,1.0,2.442,0.419,1.0,2.917,2.5,2.193,0.345,1.5,1.507,0.0,8.306,0.896,0.214,0.981,0.224,2.313,0.785,0.657,1.094,0.148,5.2,0.874,0.397,1.469,0.12,6.215,0.885,0.472
dbaeumer,train,Human,158,12,10,2,0.2,15.8,15.0,12.985,0.433,17.25,13.167,3.0,19.268,0.652,14.0,3.098,2.0,3.624,0.47,3.0,3.9,3.0,3.071,0.408,4.5,0.998,0.003,3.561,0.846,0.222,11.885,0.304,40.274,0.9,2.078,4.109,0.043,23.283,0.952,0.19,2.458,0.057,10.379,0.917,0.349
wpmobilebot,train,Bot,297,5,8,3,0.375,37.125,23.5,39.459,0.537,51.25,59.4,2.0,127.235,0.77,2.0,2.216,2.0,2.009,0.352,1.0,2.125,1.0,1.808,0.375,1.75,0.787,0.024,2.11,0.752,0.462,2.075,0.548,6.019,0.757,1.366,1.289,0.239,4.215,0.78,1.0,0.23,0.086,0.425,0.718,0.196
adamscybot,train,Human,55,10,18,16,0.889,3.056,1.0,5.461,0.573,1.75,5.5,2.5,6.294,0.536,7.0,2.115,1.0,3.011,0.443,1.0,1.444,1.0,1.042,0.261,0.0,6.059,0.0,23.133,0.78,0.589,57.296,11.736,87.222,0.709,75.813,29.443,0.453,66.186,0.84,16.045,38.515,1.378,76.523,0.799,17.992
