id,username,name,nb_activity,manual_label,label
929255,cogbot,GitLab Cog Bot,250,Unknown,Bot
21134072,project_278964_bot_a1e04ca047b466ba2f6534548fe23088,ops.gitlab.net/gitlab-com/database-team/gitlab-com-database-testing:GITLAB_API_TOKEN,300,Bot,Bot
21681581,project_278964_bot_d928bc4aee0c73fc4ffa994d76825393,Auto-quarantining bot,300,Unknown,Bot
22819274,project_278964_bot_77e28085fcec07f14dfd31c689824b5b,release-tools approver bot,300,Unknown,Bot
23047801,group_12627982_bot_fa274bcce794e189d7608b786351d57e,Foundations bot,6,Bot,Bot
24920678,project_278964_bot_99d8e0716045edece1ece406bdf03728,RUBY_SYNC,300,Unknown,Bot
25358879,project_278964_bot_721481034e48437e1f8ec9b259db3134,TEST_SLOW_NOTE_PROJECT_TOKEN,157,Unknown,Bot
25358891,project_278964_bot_87c17d71a842955abfceaf361a49f249,TEST_FAILURES_PROJECT_TOKEN,300,Unknown,Bot
25358904,project_278964_bot_079be3103ed333565a8fbea3be7252f4,PROJECT_TOKEN_FOR_CI_SCRIPTS_API_USAGE,300,Unknown,Bot
25358947,project_278964_bot_b66b169fda2a3223a645094be35d5515,DANGER_GITLAB_API_TOKEN,300,Unknown,Bot
8420142,gitlab-dependency-update-bot,GitLab Dependency Bot,96,Bot,Bot
23012018,project_3472737_bot_1fbc613f42d33124c34fb98cc87650ea,Inkscape translations bot,26,Unknown,Bot
1553458,gitlab-crowdin-bot,GitLab Crowdin Bot,300,Unknown,Bot
21707468,project_250833_bot_836d914bb2e54d8af31290f600147a0c,Danger bot,170,Unknown,Bot
2554746,veloren-bot,Veloren,241,Unknown,Bot
8866215,veloren_collaboration_bot,collaboration bot,149,Unknown,Bot
23131361,project_10858056_bot_f969f72a7e15086827dc9d30b978faa2,CORE_AUTOBOT_GITLAB_PERSONAL_ACCESS_TOKEN,56,Unknown,Bot
20833598,group_1996273_bot_cc390f2dcbab04de9a8637944d3a12ae,renovatebot,32,Unknown,Bot
20925392,project_7764_bot_61d7144c3920eb312a5c54eaf3b72b3c,danger-bot,7,Bot,Bot
1289430,fdroid-bot,F-Droid Bot,105,Unknown,Bot
25073969,project_15462818_bot_3664b606fd994f2f0d7d6e1051c0505e,ci_git_push_access,12,Bot,Bot
5015372,kicad-bot,KiCad Bot,117,Bot,Bot
22381638,project_7153509_bot_7ca269a66ac9cc6ca2f90b68d42d3661,triage,59,Unknown,Bot
24585238,project_74823_bot_eecfeb210f383dd51e07077f09ad39a1,DANGER_GITLAB_API_TOKEN,243,Unknown,Bot
23276496,project_34675721_bot_63c565833c0f8145e9e29ea80c3a260a,project_danger_token_dev,92,Unknown,Bot
8770486,nomadic-margebot,Marge Bot,207,Unknown,Bot
1786152,gitlab-bot,🤖 GitLab Bot 🤖,159,Bot,Bot
24798974,project_1148549_bot_d81065e21dec9d41dc5634b28be45f2d,renovate-bot,233,Unknown,Bot
24798975,project_1148549_bot_56abfea0258612034835203d73f47c34,danger,178,Unknown,Bot
24798973,project_1148549_bot_21bb566b6bbb2eb9618a42a7d1859a47,semantic-release,245,Unknown,Bot
24799041,project_1148549_bot_54f67ee4e7c31c72c1458fe69ffda620,woodhouse,158,Unknown,Bot
24651378,project_5261717_bot_496b695b4cbdf5e91b5be590c1d72f72,danger bot access token,191,Unknown,Bot
25012344,project_5261717_bot_c61048c9d61862d90bd10ad33a54aabc,semantic-release-token,135,Bot,Bot
19644286,project_3828396_bot_0f903a4c2ee94e92e669bf76d6f1c4a6,CNG: ISSUE_TRACKER_API_TOKEN,6,Bot,Bot
24571762,project_2009901_bot_74b13bc7f440243490fab52f7ffc4d35,Danger Bot,149,Unknown,Bot
23403402,project_7071551_bot_6c18b737953d30166b19f5c7124223bc,GitLab UI Danger Bot,223,Unknown,Bot
23403417,project_7071551_bot_f5fdad4eae13d23093bbe3413d011d9e,gitlab-ui releases,274,Unknown,Bot
2700514,fsdk-marge-bot,Freedesktop SDK Merge Bot,205,Unknown,Bot
10620598,glrenovatebot,Soos,292,Unknown,Bot
24798896,group_1112072_bot_165944cd6e64b38b4c0520d5edcd2053,oncall-robot-assistant,8,Unknown,Bot
24798902,group_1112072_bot_d014cc61531b07b593822b83bea118a3,woodhouse-slack,80,Unknown,Bot
24798901,group_1112072_bot_fe57696218e80a2d38f21d17114b3f65,woodhouse-handover,184,Unknown,Bot
25138409,group_1112072_bot_0d41afb74ecfaa55ec5343f59ceb3a78,change-scheduler,12,Unknown,Bot
24973515,project_14292404_bot_57d28a1bb55cd4dd0db2d62e98d1949b,DANGER_GITLAB_API_TOKEN,6,Bot,Bot
23458231,project_734943_bot_a69f6c6d12e0117b341434920c8eba0d,DANGER_GITLAB_API_TOKEN_2024,33,Unknown,Bot
25773172,group_10870176_bot_74544bb7e730d4b0d05330e11754cbff,test-mr-script,27,Unknown,Bot
21505705,group_56389922_bot_5b7b722f970e61e78b5abbfbae051183,Docsy GitLab Release,300,Unknown,Bot
21939084,project_42817607_bot_a8244e73f1daf844c1fa6e91f7f3eb04,DANGER_GITLAB_API_TOKEN,112,Unknown,Bot
22245308,group_56389922_bot_d5acfd3f236b75a39c7a05d8424e5448,Triage bot,295,Unknown,Bot
21700398,project_40916776_bot_1b87eb13b8a1e9905daaeef23145fa68,Danger bot,93,Unknown,Bot
24597129,project_430285_bot_70904fb10342485479573b9773c04385,danger-review,21,Unknown,Bot
24798979,project_430285_bot_fd77d0789f6bca571bf21d19023c6d86,danger,157,Unknown,Bot
24798982,project_430285_bot_50b118267442859ba0f8b7b2fe384a28,renovate-bot,186,Unknown,Bot
21800708,project_4149988_bot_f13e10c1e5f1decbe8427389ecf1d9e9,gitlab-svgs release,6,Bot,Bot
21800719,project_4149988_bot_fcce6e2292ad895981a769160373b9b4,gitlab-svgs danger,12,Unknown,Bot
21279425,project_1083469_bot_85991a4c5d3ea1ea7bfdfd99a0ee859c,triage-support-fix-bot,13,Unknown,Bot
25481643,project_39683789_bot_dee396b4d99605ba9e4d730fbdf6bf09,Ekline,6,Bot,Bot
5935829,lilypond-bot,LilyPond Bot,108,Unknown,Bot
21309161,project_18899486_bot_eabca2d5d0f8b0aa6e1849ab8716c31f,OPERATOR_RELEASE_ISSUE_TOKEN,24,Unknown,Bot
24852978,project_18899486_bot_e2d93076458c73e2ae2466ffe3add2a1,DANGER_GITLAB_API_TOKEN,29,Unknown,Bot
5668172,cki-admin-bot,CKI Admin Bot,180,Unknown,Bot
3953733,cki-bot,CKI Bot,300,Unknown,Bot
8143989,cki-kwf-bot,CKI KWF Bot,75,Unknown,Bot
21281452,cki-backport-bot,CKI Backport Bot,300,Unknown,Bot
11032269,imagebuilder-bot,Image Builder Bot,296,Unknown,Bot
3146895,tikibot,TikiBot,297,Unknown,Bot
5589227,cki-ci-bot,CKI CI Bot,245,Unknown,Bot
5974646,cki-ark-bot,CKI ARK Bot,298,Unknown,Bot
22939024,service_account_group_59800588_5b856dc377465a1db9d1212fddf584f3,Sylva triage bot,255,Unknown,Bot
5826455,html-validate-bot,HTML-validate,300,Unknown,Bot
25078900,project_65271576_bot_b1536fd80e97ecd45130660fde570b1f,danger bot,23,Unknown,Bot
21814154,project_22820629_bot_cbc9e007e1c4005d5d848f10a895abd1,Choom Bot,51,Unknown,Bot
5678729,sahbot,SoftAtHome bot,298,Unknown,Bot
21449246,group_6326218_bot_9d9ca8037e956312eed263446ba87e1a,prplbot,182,Unknown,Bot
8838050,tbc-bot,to be continuous bot,254,Unknown,Bot
24689853,project_13831684_bot_f32bbd5a1ce2999593a10380eaf8557a,DANGER_GITLAB_API_TOKEN,95,Unknown,Bot
21365787,group_7003188_bot_4f0a14a1ffaa54b5c9253655dcc3aa8d,CLABot 2,98,Bot,Bot
21453018,group_7003188_bot_1c43791bfaf6fa383edb61b41b542d37,gitlab-ci-semantic-release,89,Unknown,Bot
24799181,project_12547113_bot_b8224086cb676225f2e4ef4aa7bab4be,danger,124,Unknown,Bot
24799214,project_12547113_bot_449d35270874b50867c0421ccdb3dbfd,notify-mr,63,Unknown,Bot
24799215,project_12547113_bot_dd3f8407827b3a2117a9443742505cff,chart-bumper,60,Unknown,Bot
23541107,project_37860711_bot_d42bd95d96d7c144d5c27aa7b9707c28,CMS submodule,9,Bot,Bot
23541152,project_37860711_bot_f160792279140129f8d274a55325322c,ci-git-token,8,Bot,Bot
24850576,project_32950782_bot_676e94dbaba63ca2192d97337d2ec2ad,Danger API token,131,Unknown,Bot
21588380,project_1641463_bot_a011c902ee78fa1607870cd59eb1d454,CI-based creation of automatic issues,51,Unknown,Bot
