contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
cogbot,test,Bot,195,1,2.0,2,1.0,97.5,97.5,135.057,0.49,95.5,195.0,195.0,0.0,0.0,0.0,48.75,13.0,80.301,0.673,59.75,1.0,1.0,0.0,0.0,0.0,54.615,7.24,99.811,0.434,61.855,1.717,0.891,1.807,0.429,1.659,1.153,0.356,4.264,0.735,0.848,,,0.0,0.0,
project_278964_bot_a1e04ca047b466ba2f6534548fe23088,test,Bot,291,4,2.0,2,1.0,145.5,145.5,191.626,0.466,135.5,72.75,66.5,66.128,0.417,103.75,17.118,2.0,39.528,0.781,9.0,2.5,2.5,2.121,0.3,1.5,74.333,0.149,247.466,0.8,13.921,3.315,2.72,3.11,0.498,4.673,4.54,0.166,14.568,0.846,2.998,3.712,0.02,5.565,0.71,5.377
project_278964_bot_d928bc4aee0c73fc4ffa994d76825393,test,Bot,300,3,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,100.0,31.0,124.744,0.487,109.5,300.0,300.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,444.694,444.694,0.0,0.0,0.0,,,0.0,0.0,,1.487,0.005,5.883,0.941,0.002,1.147,0.002,4.572,0.943,0.002
project_278964_bot_77e28085fcec07f14dfd31c689824b5b,test,Bot,299,4,1.0,1,1.0,299.0,299.0,0.0,0.0,0.0,74.75,70.5,11.701,0.066,7.25,299.0,299.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,907.516,907.516,0.0,0.0,0.0,,,0.0,0.0,,3.045,0.022,11.221,0.861,1.486,2.897,0.011,11.572,0.874,1.478
group_12627982_bot_fa274bcce794e189d7608b786351d57e,test,Bot,6,1,2.0,2,1.0,3.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,1.5,1.5,0.577,0.167,1.0,1.0,1.0,0.0,0.0,0.0,336.002,336.001,387.981,0.0,672.003,0.001,0.001,0.0,0.095,0.0,268.802,0.001,368.071,0.6,672.002,,,0.0,0.0,
project_278964_bot_99d8e0716045edece1ece406bdf03728,test,Bot,300,1,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,858.0,858.0,0.0,0.0,0.0,,,0.0,0.0,,2.87,2.0,3.17,0.286,0.003,,,0.0,0.0,
project_278964_bot_721481034e48437e1f8ec9b259db3134,test,Bot,157,2,1.0,1,1.0,157.0,157.0,0.0,0.0,0.0,78.5,78.5,109.602,0.494,77.5,157.0,157.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,341.122,341.122,0.0,0.0,0.0,,,0.0,0.0,,2.187,1.01,5.72,0.672,1.495,0.876,0.876,0.0,0.0,0.0
project_278964_bot_87c17d71a842955abfceaf361a49f249,test,Bot,287,2,1.0,1,1.0,287.0,287.0,0.0,0.0,0.0,143.5,143.5,26.163,0.064,18.5,287.0,287.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,84.26,84.26,0.0,0.0,0.0,,,0.0,0.0,,0.295,0.001,1.098,0.928,0.002,0.628,0.004,1.528,0.844,0.247
project_278964_bot_079be3103ed333565a8fbea3be7252f4,test,Bot,300,2,1.0,1,1.0,300.0,300.0,0.0,0.0,0.0,150.0,150.0,200.818,0.473,142.0,300.0,300.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,116.85,116.85,0.0,0.0,0.0,,,0.0,0.0,,0.391,0.146,1.466,0.713,0.278,0.054,0.037,0.055,0.488,0.04
project_278964_bot_b66b169fda2a3223a645094be35d5515,test,Bot,297,2,1.0,1,1.0,297.0,297.0,0.0,0.0,0.0,148.5,148.5,170.413,0.406,120.5,297.0,297.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,87.361,87.361,0.0,0.0,0.0,,,0.0,0.0,,0.295,0.086,0.87,0.74,0.222,0.41,0.061,1.706,0.883,0.128
