id,username,name,nb_activity,label,manual_label
929255,cogbot,GitLab Cog Bot,250,Bot,Unknown
21134072,project_278964_bot_a1e04ca047b466ba2f6534548fe23088,ops.gitlab.net/gitlab-com/database-team/gitlab-com-database-testing:GITLAB_API_TOKEN,300,Bot,Bot
21681581,project_278964_bot_d928bc4aee0c73fc4ffa994d76825393,Auto-quarantining bot,300,Bot,Unknown
22819274,project_278964_bot_77e28085fcec07f14dfd31c689824b5b,release-tools approver bot,300,Bot,Unknown
23047801,group_12627982_bot_fa274bcce794e189d7608b786351d57e,Foundations bot,6,Bot,Bot
24920678,project_278964_bot_99d8e0716045edece1ece406bdf03728,RUBY_SYNC,300,Bot,Unknown
25358879,project_278964_bot_721481034e48437e1f8ec9b259db3134,TEST_SLOW_NOTE_PROJECT_TOKEN,157,Bot,Unknown
25358891,project_278964_bot_87c17d71a842955abfceaf361a49f249,TEST_FAILURES_PROJECT_TOKEN,300,Bot,Unknown
25358904,project_278964_bot_079be3103ed333565a8fbea3be7252f4,PROJECT_TOKEN_FOR_CI_SCRIPTS_API_USAGE,300,Bot,Unknown
25358947,project_278964_bot_b66b169fda2a3223a645094be35d5515,DANGER_GITLAB_API_TOKEN,300,Bot,Unknown
23012018,project_3472737_bot_1fbc613f42d33124c34fb98cc87650ea,Inkscape translations bot,26,Bot,Unknown
1553458,gitlab-crowdin-bot,GitLab Crowdin Bot,300,Bot,Unknown
21707468,project_250833_bot_836d914bb2e54d8af31290f600147a0c,Danger bot,170,Bot,Unknown
2554746,veloren-bot,Veloren,241,Bot,Unknown
8866215,veloren_collaboration_bot,collaboration bot,149,Bot,Unknown
23131361,project_10858056_bot_f969f72a7e15086827dc9d30b978faa2,CORE_AUTOBOT_GITLAB_PERSONAL_ACCESS_TOKEN,56,Bot,Unknown
20833598,group_1996273_bot_cc390f2dcbab04de9a8637944d3a12ae,renovatebot,32,Bot,Unknown
1289430,fdroid-bot,F-Droid Bot,105,Bot,Unknown
25073969,project_15462818_bot_3664b606fd994f2f0d7d6e1051c0505e,ci_git_push_access,12,Bot,Bot
5015372,kicad-bot,KiCad Bot,117,Bot,Bot
22381638,project_7153509_bot_7ca269a66ac9cc6ca2f90b68d42d3661,triage,59,Bot,Unknown
24585238,project_74823_bot_eecfeb210f383dd51e07077f09ad39a1,DANGER_GITLAB_API_TOKEN,243,Bot,Unknown
23276496,project_34675721_bot_63c565833c0f8145e9e29ea80c3a260a,project_danger_token_dev,92,Bot,Unknown
8770486,nomadic-margebot,Marge Bot,207,Bot,Unknown
24798974,project_1148549_bot_d81065e21dec9d41dc5634b28be45f2d,renovate-bot,233,Bot,Unknown
24798975,project_1148549_bot_56abfea0258612034835203d73f47c34,danger,178,Bot,Unknown
24798973,project_1148549_bot_21bb566b6bbb2eb9618a42a7d1859a47,semantic-release,245,Bot,Unknown
24799041,project_1148549_bot_54f67ee4e7c31c72c1458fe69ffda620,woodhouse,158,Bot,Unknown
24651378,project_5261717_bot_496b695b4cbdf5e91b5be590c1d72f72,danger bot access token,191,Bot,Unknown
25012344,project_5261717_bot_c61048c9d61862d90bd10ad33a54aabc,semantic-release-token,135,Bot,Bot
19644286,project_3828396_bot_0f903a4c2ee94e92e669bf76d6f1c4a6,CNG: ISSUE_TRACKER_API_TOKEN,6,Bot,Bot
24571762,project_2009901_bot_74b13bc7f440243490fab52f7ffc4d35,Danger Bot,149,Bot,Unknown
23403402,project_7071551_bot_6c18b737953d30166b19f5c7124223bc,GitLab UI Danger Bot,223,Bot,Unknown
23403417,project_7071551_bot_f5fdad4eae13d23093bbe3413d011d9e,gitlab-ui releases,274,Bot,Unknown
2700514,fsdk-marge-bot,Freedesktop SDK Merge Bot,205,Bot,Unknown
10620598,glrenovatebot,Soos,292,Bot,Unknown
24798896,group_1112072_bot_165944cd6e64b38b4c0520d5edcd2053,oncall-robot-assistant,8,Bot,Unknown
24798902,group_1112072_bot_d014cc61531b07b593822b83bea118a3,woodhouse-slack,80,Bot,Unknown
24798901,group_1112072_bot_fe57696218e80a2d38f21d17114b3f65,woodhouse-handover,184,Bot,Unknown
25138409,group_1112072_bot_0d41afb74ecfaa55ec5343f59ceb3a78,change-scheduler,12,Bot,Unknown
24973515,project_14292404_bot_57d28a1bb55cd4dd0db2d62e98d1949b,DANGER_GITLAB_API_TOKEN,6,Bot,Bot
23458231,project_734943_bot_a69f6c6d12e0117b341434920c8eba0d,DANGER_GITLAB_API_TOKEN_2024,33,Bot,Unknown
25773172,group_10870176_bot_74544bb7e730d4b0d05330e11754cbff,test-mr-script,27,Bot,Unknown
21505705,group_56389922_bot_5b7b722f970e61e78b5abbfbae051183,Docsy GitLab Release,300,Bot,Unknown
