contributor,label,origin,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
svedova,Human,human,264,12,6.0,5,0.833,44.0,3.5,98.513,0.785,6.0,22.0,12.5,23.989,0.557,41.5,11.0,2.0,23.515,0.747,10.5,3.333,2.0,3.83,0.467,1.5,28.817,0.003,97.471,0.827,5.542,3.368,0.142,14.06,0.916,0.288,2.924,0.047,19.479,0.942,0.394,1.797,0.043,7.444,0.911,0.379
jarka,Human,human,289,9,4.0,3,0.75,72.25,2.5,140.507,0.734,72.75,32.111,25.0,26.246,0.431,42.0,24.083,2.0,41.236,0.728,18.75,3.25,1.5,3.862,0.481,2.75,87.733,0.377,191.648,0.639,44.829,3.003,0.441,6.383,0.776,2.344,3.77,0.052,27.338,0.938,0.697,4.032,0.065,29.618,0.938,0.749
jprovaznik,Human,human,265,10,8.0,7,0.875,33.125,13.5,43.341,0.611,41.0,26.5,21.0,25.18,0.483,24.25,3.046,2.0,2.515,0.393,3.0,4.5,4.5,3.071,0.354,5.5,5.909,0.025,34.289,0.921,1.098,6.662,1.221,14.531,0.779,2.979,4.117,0.121,21.33,0.911,1.148,2.948,0.082,9.843,0.888,1.024
eduardobonet,Human,human,236,11,9.0,9,1.0,26.222,2.0,55.315,0.783,6.0,21.455,9.0,28.922,0.621,23.0,4.0,2.0,4.624,0.513,4.0,3.889,2.0,3.855,0.483,5.0,10.636,0.042,38.196,0.832,3.467,5.483,0.341,26.074,0.916,0.711,4.024,0.125,22.131,0.927,0.729,2.582,0.072,16.171,0.935,0.353
dmeshcharakou,Human,human,238,10,5.0,4,0.8,47.6,3.0,99.211,0.765,7.0,23.8,15.5,23.399,0.502,31.75,13.222,1.5,27.037,0.769,3.5,3.2,1.0,3.899,0.5,2.0,24.139,0.0,54.096,0.633,3.572,0.294,0.077,0.462,0.695,0.156,1.854,0.131,7.73,0.881,0.719,2.105,0.089,8.712,0.897,0.668
adie.po,Human,human,248,11,4.0,3,0.75,62.0,8.0,112.062,0.696,61.5,22.545,8.0,31.332,0.615,25.5,8.552,2.0,13.548,0.667,6.0,3.5,1.5,4.359,0.5,3.0,33.902,0.292,87.144,0.75,18.714,4.267,0.246,9.373,0.817,2.714,4.464,0.079,16.928,0.906,0.653,4.614,0.195,12.061,0.863,1.25
adil.farrukh,Human,human,230,11,12.0,9,0.75,19.167,3.0,53.266,0.799,2.5,20.909,9.0,34.224,0.63,14.0,4.259,2.0,5.543,0.568,3.0,2.583,1.5,2.678,0.444,1.5,8.45,0.01,18.428,0.705,3.425,6.964,0.456,33.523,0.921,1.306,3.604,0.314,17.726,0.887,1.205,2.645,0.252,8.388,0.849,1.315
mtimoustafa,Human,human,85,9,3.0,2,0.667,28.333,6.0,43.085,0.604,38.5,9.444,5.0,7.955,0.426,8.0,9.444,2.0,12.895,0.627,16.0,4.0,2.0,4.359,0.444,4.0,92.237,0.024,202.116,0.652,92.603,93.0,22.342,169.548,0.731,86.023,18.74,0.485,61.037,0.874,3.757,13.794,0.359,31.802,0.842,3.255
nmilojevic1,Human,human,221,12,9.0,8,0.889,24.556,3.0,43.601,0.723,4.0,18.417,11.0,21.159,0.527,11.75,3.565,2.0,4.151,0.498,3.0,3.333,1.0,4.093,0.519,1.0,3.346,0.047,8.774,0.793,0.502,15.914,0.56,55.36,0.884,2.559,5.356,0.075,29.93,0.93,0.672,6.522,0.125,35.192,0.925,0.864
KrIr17,Human,human,280,10,7.0,4,0.571,40.0,13.0,59.183,0.655,46.0,28.0,11.0,41.344,0.619,19.25,2.171,1.0,1.859,0.382,2.0,3.143,3.0,1.952,0.299,1.5,2.661,0.0,7.016,0.739,0.457,5.168,0.238,12.516,0.827,2.924,3.601,0.183,9.306,0.834,1.81,3.39,0.1,9.676,0.857,1.617
