owner,project,id,#stars
Drugs-Safe-R,Outils_SNDS,50986789,1
a_rost,procedural-city,21957050,0
gitlab-com/gl-infra,asdf-gl-infra,36536308,2
vitalii.tarantin,khvylia_dev,68621942,0
phd,kwin,13482579,2
tommydewever/scouting,luminex,61115101,0
leo.damerval,nugu-or-not-nugu,68726018,0
nekkochan0x0007,onyxchat,68532217,0
ir2-lab,Rafail-Master,61723325,1
redhat/services/products/image-builder/ci,image-builder-frontend,38992397,0
konflux-qe,build-nudge-child,62134341,0
konflux-qe,build-nudge-parent,62134305,0
gitlab-com/gl-infra,delivery,8223987,13
GinoGao,Atool,54085992,0
drk-intern/typo3-v9.5,drk_template2016,17655959,1
LI-lefevre,AlmacamToolProject,6213890,3
2200419,9369_cs222_finalproject,68687386,0
gitlab-org,gitlab-runner,250833,2424
leslienk,cuppyc,66157787,0
bang.thielens,cloud,47731535,0
Linaro/trustedsubstrate,meta-ts,37782792,2
JrSmooth6,breizhsport-back,66965567,0
gitlab-com/gl-infra,common-ci-task-tests,59033958,0
f.postic,deepsoilfauna,61854112,0
jeanwsr,mokit-doc-mdbook,40601494,1
tympan,code_tympan,18728059,6
mdd2904202,StarWish,66052657,0
dwrrehman,programming_language,10779495,0
sanjaysnkashyap1999,demu,68726004,0
joao.prrvz,physics-engine-js,68028782,0
gitlab-com/gl-infra/gitlab-dedicated/library,dedicated-aws-exporter,66365229,0
gitlab-org/security-products/analyzers,pmd-apex,13017938,0
drk-intern/typo3-v9.5,drk_template,45247545,0
trust-tma,trust-code,68200531,1
nikhilaggala,dev-profile,68725993,0
drk-intern/typo3-v9.5,drk_supply_finder,17655953,0
bonsamurais/bonsai/util,dataio,51700314,0
pedbot,easy-health-csharp,68448012,0
zczechowska,my-awesome-ghost-game,68457698,0
rule-cycc,geoip,55984647,0
first6952613,git1,68335178,0
MLanger,NTS4PTP,51785042,0
fryngies,dotfiles-p,56520171,0
Egor2320,computer-networks,67834328,0
redhat/centos-stream/src/kernel,centos-stream-10,56169485,13
opencity-labs/area-personale,protocol-proxy-insiel,57830591,0
gitlab-com/gl-infra/gitlab-dedicated/library,pg-slowlog-extractor,51073363,0
chenqjwork,file-resource,68725974,0
SarahDjebali,m2_amel_tcdsb,64447969,0
codingthailand,modern-angular-app,68695819,0
gitlab-com/gl-infra/gitlab-dedicated/library/terraform,cloudwatch_log_export,44589127,0
nikhilaggala,spa-portfolio,68631391,0
ghaith.sabbagh,amigo,67238220,0
dtgeo/workflow-management-system,workflow-registry,46771077,2
gitlab-org/editor-extensions,gitlab-lsp,46519181,31
Gipphe,cv,68725966,0
redhat/centos-stream/rpms,fence-agents,23658325,0
jaromrax,linux,7361085,0
atikahsubari,tender-simulation,68338369,0
nan.web,nanoweb-sync,67122511,0
